type	px	py	v	yaw_angle	yaw_rate	vx	vy	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
L	7.21145	-13.2829	-2.64245	-0.189111	-1.2314	-2.59534	0.496743	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.240669
R	7.06669	-13.2161	-2.66278	-0.293035	-1.28608	-2.54927	0.769168	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	4.087
L	6.9293	-13.1704	-2.67124	-0.360288	-1.28598	-2.49973	0.941727	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.350524
R	6.79529	-13.1222	-2.66825	-0.423196	-1.27637	-2.43286	1.09579	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.196704
L	6.65007	-13.0615	-2.68007	-0.490306	-1.26997	-2.36432	1.26203	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.440096
R	6.53058	-13.0321	-2.63648	-0.507279	-1.1964	-2.30447	1.28081	6.40137	-13.0799	6.4	-13.05	-2.72678	0	10.3934
L	6.38376	-12.9799	-2.65427	-0.555578	-1.17517	-2.25505	1.39995	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.09741
R	6.26156	-12.9224	-2.63591	-0.59458	-1.14046	-2.18355	1.47654	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	2.269
L	6.11019	-12.8674	-2.65939	-0.630995	-1.10991	-2.1473	1.56891	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	1.9205
R	5.99873	-12.7562	-2.69967	-0.720575	-1.15747	-2.0286	1.78129	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	6.61348
L	5.858	-12.6904	-2.72697	-0.750652	-1.12481	-1.99408	1.86011	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	2.43758
R	5.74918	-12.6159	-2.68721	-0.777461	-1.0758	-1.91517	1.885	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	8.54187
L	5.60322	-12.5483	-2.70717	-0.798517	-1.03549	-1.88898	1.93921	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	2.18676
R	5.49583	-12.4322	-2.72447	-0.861246	-1.04425	-1.77497	2.06693	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.05169
L	5.34144	-12.3621	-2.74803	-0.869071	-0.992559	-1.77395	2.09875	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	3.25863
R	5.24006	-12.261	-2.73501	-0.907318	-0.972785	-1.68438	2.15479	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	1.22858
L	5.099	-12.1762	-2.7522	-0.919317	-0.930292	-1.66883	2.18852	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	2.02042
R	5.01024	-12.0624	-2.76023	-0.963931	-0.927741	-1.57415	2.26736	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.659497
L	4.88941	-11.9807	-2.77018	-0.972861	-0.890439	-1.55943	2.28955	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	1.46893
R	4.80145	-11.852	-2.77873	-1.02126	-0.891079	-1.4513	2.36961	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.319699
L	4.70527	-11.7302	-2.78411	-1.05575	-0.876289	-1.37139	2.42292	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.236963
R	4.63818	-11.6145	-2.74587	-1.09223	-0.860607	-1.26449	2.43738	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	5.53596
L	4.56006	-11.4959	-2.74123	-1.12625	-0.848617	-1.17885	2.4748	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.313315
R	4.47937	-11.3391	-2.82507	-1.1766	-0.860878	-1.08501	2.6084	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	26.6335
L	4.4352	-11.198	-2.82867	-1.22735	-0.867801	-0.952501	2.66348	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.128624
R	4.41579	-11.0622	-2.77836	-1.28788	-0.882848	-0.775595	2.6679	4.43713	-11.024	4.45	-11.05	0	1.81614	10.286
L	4.39419	-10.9119	-2.77328	-1.34784	-0.894665	-0.613213	2.70464	4.45136	-10.93	4.45	-10.95	0	1.81612	0.201774
